Year,Week,From,To,AandB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,8,18/02/2024,24/02/2024,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,25/02/2024,02/03/2024,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,10,03/03/2024,09/03/2024,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,11,10/03/2024,16/03/2024,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,12,17/03/2024,23/03/2024,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,13,24/03/2024,30/03/2024,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,14,31/03/2024,06/04/2024,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,15,07/04/2024,13/04/2024,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,16,14/04/2024,20/04/2024,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,17,21/04/2024,27/04/2024,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,18,28/04/2024,04/05/2024,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,19,05/05/2024,11/05/2024,1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,20,12/05/2024,18/05/2024,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,21,19/05/2024,25/05/2024,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,22,26/05/2024,01/06/2024,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,23,02/06/2024,08/06/2024,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,24,09/06/2024,15/06/2024,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,25,16/06/2024,22/06/2024,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,26,23/06/2024,29/06/2024,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,27,30/06/2024,06/07/2024,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,28,07/07/2024,13/07/2024,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,29,14/07/2024,20/07/2024,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30,21/07/2024,27/07/2024,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,31,28/07/2024,03/08/2024,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,32,04/08/2024,10/08/2024,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,33,11/08/2024,17/08/2024,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,34,18/08/2024,24/08/2024,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,35,25/08/2024,31/08/2024,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,36,01/09/2024,07/09/2024,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,37,08/09/2024,14/09/2024,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,38,15/09/2024,21/09/2024,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,39,22/09/2024,28/09/2024,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,40,29/09/2024,05/10/2024,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,41,06/10/2024,12/10/2024,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,42,13/10/2024,19/10/2024,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,43,20/10/2024,26/10/2024,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,44,27/10/2024,02/11/2024,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,45,03/11/2024,09/11/2024,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,46,10/11/2024,16/11/2024,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,47,17/11/2024,23/11/2024,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,48,24/11/2024,30/11/2024,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,49,01/12/2024,07/12/2024,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,50,08/12/2024,14/12/2024,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,51,15/12/2024,21/12/2024,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,52,22/12/2024,28/12/2024,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,29/12/2024,04/01/2025,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,05/01/2025,11/01/2025,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,12/01/2025,18/01/2025,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,19/01/2025,25/01/2025,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,26/01/2025,01/02/2025,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,02/02/2025,08/02/2025,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,7,09/02/2025,15/02/2025,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,8,16/02/2025,22/02/2025,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,9,23/02/2025,01/03/2025,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,10,02/03/2025,08/03/2025,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,11,09/03/2025,15/03/2025,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,12,16/03/2025,22/03/2025,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,13,23/03/2025,29/03/2025,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,14,30/03/2025,05/04/2025,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,15,06/04/2025,12/04/2025,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,16,13/04/2025,19/04/2025,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,17,20/04/2025,26/04/2025,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,18,27/04/2025,03/05/2025,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,19,04/05/2025,10/05/2025,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,20,11/05/2025,17/05/2025,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
